Country,Deaths
Algeria,5.309271393
Angola,51.91429483
Benin,16.20772577
Botswana,2.209052598
Burkina Faso,24.88666265
Burundi,14.08408224
Cabo Verde,0.099032236
Cameroon,32.13573045
Central African Republic,15.43832233
Chad,29.11953976
Comoros,0.373011146
Congo,9.221971826
CÃ´te dâ€™Ivoire,27.149695
DR Congo,175.166553
Equatorial Guinea,3.263721632
Eritrea,1.868519058
Eswatini,1.498856775
Ethiopia,61.45255477
Gabon,5.06979743
Gambia,2.198426735
Ghana,34.58276627
Guinea,19.7824138
Guinea-Bissau,4.401562446
Kenya,53.75563808
Lesotho,5.698304102
Liberia,11.35715096
Madagascar,34.69765026
Malawi,22.67101194
Mali,29.99801353
Mauritania,2.295099075
Mozambique,44.30124265
Namibia,3.266646507
Niger,48.07167486
Nigeria,384.145056
Rwanda,7.510667921
Sao Tome and Principe,0.128015126
Senegal,10.0080313
Seychelles,0.022423099
Sierra Leone,14.52818673
South Africa,71.25781586
Tanzania,67.04429211
Togo,5.988850418
Uganda,41.56462045
Zambia,22.25232064
Zimbabwe,13.41822287
